Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku,av_DG,sd_DG,sk_DG,ku_DG
3.53e-01,6.7857e-01,30.4,1.62629757785467,1.07445993259011,1.88772978025857,4.69074296753308,0.166089965397924,0.26858282679646,1.5144262538799,2.70546500027766,87,48,14.2484448912217,1.80425747176435,4.05108203946443,-26.9636363636364,1.95274758750229,0.315125804143801,2.53808209084161
3.83e-01,6.4881e-01,21.8,1.47404844290657,0.896080205493629,2.26299233339551,7.00729364174611,0.127335640138408,0.228414236894526,1.79844880128822,3.95296800084168,79,36.8,10.9667265357121,2.00489866809443,4.91456453320884,-21.4454545454545,2.41975341958026,0.254019342316636,2.25825666675586
4.79e-01,6.3083e-01,26.8,1.75086505190311,1.25896409844212,1.80647676545278,4.25441401851213,0.192890846178043,0.30386157336565,1.42053558112469,2.3262713422601,89,55.7454545454545,13.8881482263484,2.36069094168136,6.72899284754847,-24.3909090909091,3.1049680266117,-0.541216525897503,2.80702372071753
1.13e-01,8.5518e-01,6.3,1.2560553633218,0.573497444400768,2.61254390798647,9.17959380786395,0.0873230575652721,0.189916404683932,2.1076571452546,5.22241984498849,57,25.2363636363636,16.3706651571019,1.11916907809057,1.33867651734315,-28.5909090909091,0.391859310222815,-0.874885375124756,3.07179442513632
2.19e-01,7.7426e-01,22.4,1.62283737024221,1.0651595935402,1.8349229224109,4.24099842210339,0.169864737338786,0.273769815067252,1.49847785116975,2.63209746344101,88,49.0909090909091,21.0223022070049,1.42316805223362,2.34638386701455,-28.2909090909091,1.42538960891053,0.0720573645364821,2.6400285986329
6.13e-01,5.9292e-01,27.6,1.68858131487889,1.14361824627577,1.68945904682546,3.58402264807329,0.175149418055992,0.282675073710681,1.50526170951282,2.67294338781918,87,50.6181818181818,11.2063146307475,2.40385453512432,7.16003374765775,-26.3636363636364,2.4458769489871,0.111428806528418,2.4695083020134
7.38e-01,6.0373e-01,21.7,1.82006920415225,1.36774964652045,1.76551439028006,3.99946137600682,0.20062912865681,0.312624645697477,1.41930892278056,2.32480641364091,90,57.9818181818182,9.36820718094577,1.92889200872627,4.57159221465562,-25.3090909090909,1.70318127229042,-0.552795233737992,3.04293098581836
4.97e-01,6.8841e-01,19.1,1.31141868512111,0.660219944318392,2.47621152400886,8.46730444073679,0.0959421201635735,0.198354218733628,2.04112382896944,4.97864022811876,63,27.7272727272727,7.16419010319455,1.87661111604053,4.54553675169735,-27.3454545454545,1.35603944456148,-0.10673756421424,1.84145719382915
6.28e-01,6.3243e-01,44.9,1.74048442906574,1.24441497237054,1.77819484086565,4.03204869466579,0.185530040893363,0.294673184661562,1.46649659723101,2.49843770097386,89,53.6181818181818,10.6762112944296,1.84017524030661,4.05240202981546,-27.3181818181818,2.30998551031198,-0.165976012812685,1.79881091816087
6.45e-01,6.8974e-01,16.1,1.27681660899654,0.563769662897648,2.11559650677051,5.63007546456812,0.0814721610569362,0.171310543376576,2.17687980004547,5.76728302358375,63,23.5454545454545,9.66684715325,1.55985358147749,2.73976076512726,-27.5727272727273,0.985431063121714,0.113318237656879,1.66946548144352
