Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku,av_DG,sd_DG,sk_DG,ku_DG
6.65e+00,9.4069e-01,24.0,2.34259259259259,1.93487504160134,1.35052559267946,2.12531520026351,0.229187235766183,0.323017203831589,1.2299775185572,1.65467216984997,37,24.7522214627478,5.44794627998199,2.33478185867263,7.41507360768436,-9.47248120300752,1.5529154758745,0.187813297901299,2.92851060947047
4.29e+00,8.6712e-01,20.3,2.18518518518519,1.73817778226034,1.42449659596907,2.43363475399956,0.202638329831312,0.293138720818871,1.28250303023611,1.8127971223871,37,21.8849396217817,6.16487404761947,1.93437169612511,4.72466467684499,-9.44654135338346,1.14117473118137,-0.0334318554333641,2.44185666228136
6.17e+00,9.4595e-01,20.3,2.26851851851852,1.82374503518468,1.33641584500779,2.06701195131645,0.219236010902678,0.308831195709843,1.24202119386457,1.7093487876841,37,23.6774891774892,5.77549497475345,2.14960787291997,6.14663968820288,-9.34669172932331,1.74593910004314,-0.323795943796668,2.46183296892863
4.29e-01,6.4286e-01,15.4,1.47222222222222,0.84391430727574,1.7928746696113,3.94965400291188,0.0830759558829734,0.164632175075859,2.09082301676996,5.41778727641204,29,8.97220323536113,4.76888049631491,1.49689845172397,2.46923016921146,-8.27631578947368,1.05946963159738,-0.439417153377519,2.65104829905798
5.66e+00,9.4595e-01,20.3,2.2037037037037,1.75730886036776,1.3827607489197,2.21707694361972,0.209619165759517,0.294634220336871,1.2358562464962,1.69249693806269,37,22.6388699020278,5.43973400421539,2.05691558890539,5.56128118771004,-9.69984962406015,1.58337603765978,0.427940676183727,3.04680133978734
3.74e+00,8.4365e-01,17.1,2.11111111111111,1.69056933941144,1.58175585075638,3.07347863756456,0.182367745964237,0.277607089661877,1.41935954273603,2.30008848352922,37,19.6957165641376,5.55949468895267,2.07018544426558,5.29072161695836,-9.26075187969924,1.18167500847503,0.412605808042583,2.48145079440754
3.21e-01,6.4744e-01,10.0,1.15740740740741,0.3887786439855,2.47910154517751,7.83148080724022,0.0286796536796537,0.0877167763884462,3.4466977095215,13.8179714167768,16,3.0974025974026,1.73958904892801,1.41736031338502,2.20734408007758,-9.50511278195489,1.27349770940175,1.09001673176076,2.89343557904027
2.17e+00,7.8979e-01,17.1,1.87037037037037,1.30591668238992,1.5421087920981,2.9993229335943,0.166418782646853,0.249961158216299,1.42994875131388,2.38601255916426,37,17.9732285258601,5.27255225915681,1.90999349210508,4.60968606057051,-9.40842105263158,1.33868459851217,0.421793646800191,4.72376266725292
1.07e+00,7.1212e-01,22.0,1.58333333333333,0.944035859331467,1.64962022140216,3.31857371418484,0.126167691957166,0.217606869869488,1.6800843287485,3.36228800441611,34,13.6261107313739,6.00281789434199,1.48317938278616,2.49335710054359,-7.8381954887218,0.954348838813753,0.359065798815516,3.26521488858085
1.04e+00,6.2784e-01,16.1,1.63888888888889,1.04046226668489,1.732638917064,3.70277714157335,0.115656354691442,0.202322368337614,1.84548999343538,4.22593690394119,35,12.4908863066758,4.40193741010339,1.78819195061197,3.79589767614172,-8.69428571428572,1.00058876330614,0.583558806598257,3.71399237450371
4.45e+00,9.4294e-01,17.1,2.18518518518519,1.72212265741669,1.39395478897263,2.30876899183624,0.207670902846342,0.295736403813465,1.27907241704246,1.82897459289304,37,22.4284575074049,5.59399039699798,2.33621925129009,7.00541516991602,-9.60383458646616,1.23446662666014,-0.0492224082508878,3.58425166299008
3.58e+00,9.1587e-01,20.3,2.05555555555556,1.60342996551798,1.48961018795845,2.64182667154216,0.189703003299495,0.280169363130569,1.34923435751929,2.06517700595015,36,20.4879243563454,5.85671569258568,1.81749478911296,4.24329562591707,-8.89533834586466,1.29026811276392,-0.400916442902617,3.08289010042646
4.53e+00,9.4595e-01,24.0,2.17592592592593,1.69328031251038,1.33187325321845,2.03608582678465,0.211302667443018,0.300382712343472,1.27415846241807,1.81462252916123,37,22.820688083846,6.42275165203945,2.06756415871682,5.44867674656555,-10.4311278195489,1.10432550375724,0.199003209503725,2.29479094111364
3.35e+00,8.8964e-01,14.4,2.12037037037037,1.62570550264933,1.36042054377361,2.13163638195583,0.206587596938474,0.294746172729907,1.28250781077755,1.84234532092979,37,22.3114604693552,7.01141915219574,1.91576490786414,4.46061747600537,-8.79586466165413,1.88445605634625,0.431538742362441,2.19134269530951
